AthleteID,FullName,Gender],CountryID
5866,ECKERT  Cynthia L.,Women,USA
5868,ECKHOFF  Tiril,Women,NOR
5869,ECKSTEIN  Hans,Men,GER
5870,ECKSTEIN  Rudolf (Rudi),Men,GER
5871,EDBERG  Stefan,Men,SWE
5872,EDEBONE  Peta,Women,AUS
5873,EDELMANN  Tino,Men,GER
5874,EDER  Elfriede,Women,AUT
5875,EDER  Josef,Men,AUT
5876,EDER  Simon,Men,AUT
5877,EDERLE  Gertrude,Women,USA
5878,EDESHKO  Ivan,Men,URS
5879,EDGAR  David Holmes,Men,USA
5880,EDGAR  Ross,Men,GBR
5881,EDIN  Niklas,Men,SWE
5882,EDLER  Alexander,Men,SWE
5883,EDLETITSCH,Men,AUT
5884,EDLING  Rolf,Men,SWE
5885,EDMAN  Johan Victor,Men,SWE
5886,EDMAN  Jonas,Men,SWE
5887,EDMONDSON  Annette,Women,AUS
5888,EDMUNDS  Ian,Men,AUS
5889,EDSTR├ûM  Sonja,Women,SWE
5890,EDSTRÃ–M  Sonja,Women,SWE
5891,EDSTRAND  Ann-Louise,Women,SWE
5892,EDVAR SIMOES  Jose,Men,BRA
5893,EDWARD  Harry,Men,GBR
5894,EDWARDS  Anthony,Men,AUS
5895,EDWARDS  Hugh,Men,GBR
5896,EDWARDS  Jonathan David,Men,GBR
5897,EDWARDS  Kenneth Paine,Men,USA
5898,EDWARDS  Margaret,Women,GBR
5899,EDWARDS  Philip,Men,CAN
5900,EDWARDS  Teresa,Women,USA
5901,EDWARDS  Torri,Women,USA
5904,EFIMOVA  Iuliia,Women,RUS
5905,EFREMOVA  Lilia,Women,UKR
5906,EFTEDAL  Siri,Women,NOR
5907,EGAMI  Ayano,Women,JPN
5908,EGAMI  Yumi,Women,JPN
5909,EGAN  Henri Chandler,Men,USA
5910,EGAN  Kenny,Men,IRL
5911,EGAN  Walter Eugene,Men,USA
5912,EGBELE  Aaron,Men,NGR
5913,EGBUNIKE  Innocent,Men,NGR
5914,EGER  G├╝nther,Men,GER
5915,EGER  GÃ¼nther,Men,GER
5916,EGERSZEGI  Krisztina,Women,HUN
5917,EGERVARY  Marta,Women,HUN
5918,EGGENKAMP  Gerritjan,Men,NED
5919,EGGIMANN  Romy,Women,SUI
5920,EGGLER  Markus,Men,SUI
5921,EGINGTON  Richard,Men,GBR
5922,EGLI  Hans,Men,SUI
5923,EGLINGTON  Nathan,Men,AUS
5924,EGNELL  Claes,Men,SWE
5925,EGNOT  Leslie Jean,Women,NZL
5926,EGORCHEV  Andrey,Men,RUS
5927,EGOROV  Eduard,Men,URS
5928,EGOROV  Filipp,Men,RUS
5929,EGOROV  Grigori,Men,URS
5930,EGOROVA  Ljubov,Women,EUN
5931,EGOROVA  Ljubov,Women,RUS
5932,EGOROVA  Lyudmila,Women,URS
5933,EGRESI  Vilma,Women,HUN
5934,EGRIBAS  Dursan Ali,Men,TUR
5935,EGUSQUIZA BASTERRA  Rafael,Men,ESP
5937,EHNING  Marcus,Men,GER
5938,EHRENBERG  Andre,Men,GER
5939,EHRENBOLGER  Karl,Men,SUI
5941,EHRENBRINK  Ralf,Men,GER
5946,EHRL  Wolfgang,Men,GER
5948,EICHENBERGER  Sabine,Women,SUI
5950,EICHHOLZ  Armin,Men,GER
5951,EICHHORN  Willi,Men,GER
5953,EICKE  Hans,Men,GER
5955,EIDHAMMER  Ole C.,Men,NOR
5957,EIGENBROD  Thorvald,Men,DEN
5958,EIJS  Irene,Women,NED
5959,EIKELBOOM  Marten,Men,NED
5960,EIMER  Christoph,Men,GER
5961,EINARSSON  Vilhjalmur,Men,ISL
5963,EINIKIS  Gintaras,Men,LTU
5964,EISELE  John Lincoln,Men,USA
5965,EISENE  Fritz,Men,DEN
5966,EISENECKER  Julius,Men,GER
5967,EISLER  Lloyd,Men,CAN
